domain_length,domain_num_of_unique_char ,domain_num_of_unique_letters ,domain_num_of_unique_numbers ,ratio_of_letters_of_domain_name ,ratio_of_numbers_of_domain_name,ratio_of_unique_letters_to_num_of_unique_characters,ratio_of_unique_numbers_to_num_of_unique_characters,domain_class
12,9,8,1,0.833333333,0.166666667,0.888888889,0.111111111,legit
28,20,14,6,0.607142857,0.392857143,0.7,0.3,dga
25,17,10,7,0.48,0.52,0.588235294,0.411764706,dga
27,22,15,7,0.62962963,0.37037037,0.681818182,0.318181818,dga
26,15,13,2,0.769230769,0.230769231,0.866666667,0.133333333,dga
26,21,18,3,0.807692308,0.192307692,0.857142857,0.142857143,dga
27,18,13,5,0.592592593,0.407407407,0.722222222,0.277777778,dga
27,19,14,5,0.62962963,0.37037037,0.736842105,0.263157895,dga
25,16,10,6,0.56,0.44,0.625,0.375,dga
28,18,13,5,0.678571429,0.321428571,0.722222222,0.277777778,dga
27,17,14,3,0.740740741,0.259259259,0.823529412,0.176470588,dga
26,18,13,5,0.730769231,0.269230769,0.722222222,0.277777778,dga
26,19,13,6,0.615384615,0.384615385,0.684210526,0.315789474,dga
28,18,14,4,0.678571429,0.321428571,0.777777778,0.222222222,dga
26,19,14,5,0.653846154,0.346153846,0.736842105,0.263157895,dga
25,16,12,4,0.72,0.28,0.75,0.25,dga
26,19,13,6,0.576923077,0.423076923,0.684210526,0.315789474,dga
27,19,14,5,0.666666667,0.333333333,0.736842105,0.263157895,dga
28,19,15,4,0.678571429,0.321428571,0.789473684,0.210526316,dga
27,19,13,6,0.518518519,0.481481481,0.684210526,0.315789474,dga
28,18,14,4,0.678571429,0.321428571,0.777777778,0.222222222,dga
26,17,10,7,0.576923077,0.423076923,0.588235294,0.411764706,dga
25,19,15,4,0.68,0.32,0.789473684,0.210526316,dga
27,19,13,6,0.62962963,0.37037037,0.684210526,0.315789474,dga
9,6,4,2,0.555555556,0.222222222,0.666666667,0.333333333,legit
8,7,4,3,0.625,0.375,0.571428571,0.428571429,legit
26,18,13,5,0.730769231,0.269230769,0.722222222,0.277777778,dga
25,19,13,6,0.68,0.32,0.684210526,0.315789474,dga
9,8,5,3,0.666666667,0.333333333,0.625,0.375,legit
26,19,12,7,0.653846154,0.346153846,0.631578947,0.368421053,dga
27,21,13,8,0.518518519,0.481481481,0.619047619,0.380952381,dga
25,17,12,5,0.6,0.4,0.705882353,0.294117647,dga
26,16,11,5,0.653846154,0.346153846,0.6875,0.3125,dga
26,15,10,5,0.653846154,0.346153846,0.666666667,0.333333333,dga
25,16,10,6,0.6,0.4,0.625,0.375,dga
7,6,4,2,0.571428571,0.428571429,0.666666667,0.333333333,legit
27,17,11,6,0.518518519,0.481481481,0.647058824,0.352941176,dga
28,20,14,6,0.571428571,0.428571429,0.7,0.3,dga
28,17,12,5,0.607142857,0.392857143,0.705882353,0.294117647,dga
27,18,12,6,0.518518519,0.481481481,0.666666667,0.333333333,dga
27,22,16,6,0.666666667,0.333333333,0.727272727,0.272727273,dga
11,9,6,3,0.636363636,0.272727273,0.666666667,0.333333333,legit
10,8,5,3,0.6,0.3,0.625,0.375,legit
12,9,6,3,0.666666667,0.25,0.666666667,0.333333333,legit
7,6,3,3,0.428571429,0.428571429,0.5,0.5,legit
7,5,2,3,0.285714286,0.714285714,0.4,0.6,legit
9,9,0,9,0,1,0,1,legit
10,10,5,5,0.5,0.5,0.5,0.5,legit
10,10,5,5,0.5,0.5,0.5,0.5,legit
10,10,5,5,0.5,0.5,0.5,0.5,legit
10,10,5,5,0.5,0.5,0.5,0.5,legit
9,9,4,5,0.444444444,0.555555556,0.444444444,0.555555556,legit
8,8,5,3,0.625,0.375,0.625,0.375,legit
16,12,9,3,0.8125,0.1875,0.75,0.25,legit
26,21,13,8,0.538461538,0.461538462,0.619047619,0.380952381,dga
8,8,5,3,0.625,0.375,0.625,0.375,legit
14,11,8,3,0.785714286,0.214285714,0.727272727,0.272727273,legit
28,20,13,7,0.607142857,0.392857143,0.65,0.35,dga
7,6,3,3,0.571428571,0.428571429,0.5,0.5,legit
8,8,5,3,0.625,0.375,0.625,0.375,legit
9,9,6,3,0.666666667,0.333333333,0.666666667,0.333333333,legit
9,9,6,3,0.666666667,0.333333333,0.666666667,0.333333333,legit
8,7,4,3,0.625,0.375,0.571428571,0.428571429,legit
12,10,7,3,0.75,0.25,0.7,0.3,legit
14,11,8,3,0.785714286,0.214285714,0.727272727,0.272727273,legit
12,10,7,3,0.75,0.25,0.7,0.3,legit
12,10,7,3,0.75,0.25,0.7,0.3,legit
27,18,13,5,0.666666667,0.333333333,0.722222222,0.277777778,dga
9,8,5,3,0.666666667,0.333333333,0.625,0.375,legit
13,10,7,3,0.769230769,0.230769231,0.7,0.3,legit
10,9,6,3,0.7,0.3,0.666666667,0.333333333,legit
28,21,14,7,0.571428571,0.428571429,0.666666667,0.333333333,dga
26,17,11,6,0.653846154,0.346153846,0.647058824,0.352941176,dga
16,14,11,3,0.8125,0.1875,0.785714286,0.214285714,legit
10,10,7,3,0.7,0.3,0.7,0.3,legit
7,7,4,3,0.571428571,0.428571429,0.571428571,0.428571429,legit
14,11,8,3,0.785714286,0.214285714,0.727272727,0.272727273,legit
25,18,13,5,0.76,0.24,0.722222222,0.277777778,dga
8,6,3,3,0.625,0.375,0.5,0.5,legit
8,8,5,3,0.625,0.375,0.625,0.375,legit
8,8,5,3,0.625,0.375,0.625,0.375,legit
8,8,5,3,0.625,0.375,0.625,0.375,legit
8,8,5,3,0.625,0.375,0.625,0.375,legit
9,8,5,3,0.666666667,0.333333333,0.625,0.375,legit
9,8,5,3,0.666666667,0.333333333,0.625,0.375,legit
8,8,5,3,0.625,0.375,0.625,0.375,legit
8,8,5,3,0.625,0.375,0.625,0.375,legit
8,8,5,3,0.625,0.375,0.625,0.375,legit
12,9,6,3,0.75,0.25,0.666666667,0.333333333,legit
9,7,4,3,0.666666667,0.333333333,0.571428571,0.428571429,legit
9,7,4,3,0.666666667,0.333333333,0.571428571,0.428571429,legit
9,7,4,3,0.666666667,0.333333333,0.571428571,0.428571429,legit
9,7,4,3,0.666666667,0.333333333,0.571428571,0.428571429,legit
9,7,4,3,0.666666667,0.333333333,0.571428571,0.428571429,legit
8,6,3,3,0.625,0.375,0.5,0.5,legit
7,7,4,3,0.571428571,0.428571429,0.571428571,0.428571429,legit
8,8,5,3,0.625,0.375,0.625,0.375,legit
8,8,5,3,0.625,0.375,0.625,0.375,legit
8,8,5,3,0.625,0.375,0.625,0.375,legit
8,8,5,3,0.625,0.375,0.625,0.375,legit
8,8,5,3,0.625,0.375,0.625,0.375,legit
17,11,8,3,0.823529412,0.176470588,0.727272727,0.272727273,legit
8,8,5,3,0.625,0.375,0.625,0.375,legit
14,6,3,3,0.785714286,0.214285714,0.5,0.5,legit
8,7,4,3,0.625,0.375,0.571428571,0.428571429,legit
10,9,6,3,0.7,0.3,0.666666667,0.333333333,legit
9,8,5,3,0.666666667,0.333333333,0.625,0.375,legit
8,8,5,3,0.625,0.375,0.625,0.375,legit
8,8,5,3,0.625,0.375,0.625,0.375,legit
16,14,11,3,0.8125,0.1875,0.785714286,0.214285714,legit
8,8,5,3,0.625,0.375,0.625,0.375,legit
7,7,4,3,0.571428571,0.428571429,0.571428571,0.428571429,legit
15,13,10,3,0.8,0.2,0.769230769,0.230769231,legit
27,19,13,6,0.518518519,0.481481481,0.684210526,0.315789474,dga
28,19,15,4,0.678571429,0.321428571,0.789473684,0.210526316,dga
